Type,ID,Speaker,IMG,Position,NextID,Text,CG,IsWatched,Condition
Start,0,Heart,ding,左,1,经历了这么久的战斗和调查，明天就是大选了，为了给民众交代，不能再次溜走，否则会引发暴动。姐姐的事，只能暂时搁置一会。,,,
#,1,Heart,biyan,左,2,虽然是一个无足轻重的人，作为王室的一员，我的决定还是至关重要。,,,
#,2,Heart,chouchang,左,3,在王位的争夺中，我要站在谁那一边——,,,
@,3,,,,6,大哥Diamond,,,
@,4,,,,6,二姐Club,,,
@,5,,,,6,最后再做决定,,,
#,6,,,,7,带着这样的信念，Heart打开了下一个房间的门，里面有一张床——很幸运，城堡为他准备了合适的过夜之所。他倒头便睡，坠入一个深深的、漆黑的梦里……,,,
#,7,Spade,black,右,8,Heart，Heart？,,,
#,8,Heart,happy,左,9,姐姐？,,,
#,9,Spade,black,右,10,我在这里。来找我吧——我在这里，我在这里。,,,
#,10,Heart,smile,左,11,……梦，我知道是梦，但我不想醒过来——姐姐的气息……好熟悉，好温暖。好想逃避掉这一切，无聊的争斗，反目成仇的家人，恐慌混乱的群众，国家运转的重担。,,,
#,11,Heart,chouchang,左,12,这首曲子，我只能预想到它的开头，往后不知道该如何发展了。似乎再往后走，只有一种选项，相同的演奏乐器，相同的组成，像破解谜题一样，有且只有一种答案。,,,
#,12,Spade,normal,右,13,天黑了。Heart，你一定累了吧。要不要出去看看？,,,
#,13,Heart,smile,左,14,去哪？图书馆吗？还是你的卧室？,,,
#,14,Spade,biyan,右,15,都不是。去别的房间转转。,,,
#,15,Heart,jiqie,左,16,可是我不知道会走到哪里去。,,,
#,16,Heart,sad,左,17,门的后面太未知了，我宁愿待在房间里，这是可控的生活，还有你在，姐姐。我不奢求更多了。,,,
#,17,Spade,biyan,右,18,Heart，谢谢你这么爱我。,,,
#,18,Spade,smile,右,19,来窗边陪我坐坐吧。,,,
#,19,,,,20,两人安静地坐在落地窗边，望着天空。,,,
#,20,Spade,sikao,右,21,……Heart，你知道天空认知发展的历程吗？,,,
#,21,Spade,yansu,右,22,从前人们认为，天空是一个很大的半球，罩在我们王国上方，所有人都对此深信不疑。,,,
#,22,Spade,sikao,右,23,直到后面一位了不起的桃A，证实天空与地面是两相分离的，并且地面是一个弧形——,,,
#,23,Spade,yansu,右,24,这意味着地面的整体应该是一个球，我们从这里出发，一直向某个方向走，一定能走回原点，我们此时此刻正身处的坐标。,,,
#,24,Spade,yansu,右,25,我们的认知受限于信息茧房，但我们不会一直这样，我们在世界里——,,,
#,25,Spade,normal,右,26,空间是随遇而安的湖泊，时间是奔流不息的河流，也许无法永远固定不动，但我们越丰富，越自由，越接近世界的整体和真相。,,,
#,26,Heart,jiqie,左,27,我一定要随着它迈出那一步吗……,,,
#,27,Spade,normal,右,28,所谓全部的真理，并不多么恐怖，Heart。不用害怕。,,,
#,28,Spade,smile,右,29,它一直在那里。不是局部的认知带来了舒适感，而是局部的习惯。太多关系、太多太多共同的记忆，每一段都在事物之间搭建起羁绊。这种羁绊在生命往上的维度，牢不可破。你会因为我死去而不再爱我吗？,,,
#,29,Heart,sad,左,30,不会……,,,
#,30,Spade,smile,右,31,我会因为死去就不再爱你吗？不会。生死尚且如此，短短万里、区区百年呢？,,,
#,31,Spade,normal,右,32,你的出发，并不代表我的离去；,,,
#,32,Spade,biyan,右,33,而是当你推开门，走到世界尽头之时，,,,
#,33,Spade,smile,右,E,无论往何处去，都会踏上回家的路——回到我身边。,,,
