ID,跳转,标志,关卡,位置,条件,人物,立绘,立绘位置,内容,CG,看过吗
0,1,#,1-0,#S,,,,,POKER国，四王子Heart的房间中。,CG-1,
1,2,#,1-0,,,Heart,sad,左,"……
今天……",,
2,3,#,1-0,,,Maid,,右,主人。主人？,,
3,4,#,1-0,,,Heart,jingyal,左,——！,,
4,5,#,1-0,,,Heart,jingyas,左,Maid？,,
5,6,#,1-0,,,Maid,,,到您的回合了。,,
6,7,#,1-0,,,Heart,normal,,诶？,,
7,8,#,1-0,,,Maid,,,主人，请您集中注意力。练习也需认真对待。,,
8,9,#,1-0,,,Maid,,右,容我为您重温Poker国的战斗礼仪。,,
9,10,#,1-0,,,Maid,,右,POKER国的传统是礼尚往来，行动依回合而行。,,
10,11,#,1-0,,,Maid,,右,移动与打出卡牌会消耗您的行动点，当行动点归零，此回合便告终结。,,
11,12,#,1-0,,,Maid,,右,第一回合，您将获得7张卡牌。,,
12,13,#,1-0,,,Maid,,右,随后每一回合开始都将从卡池中抽取新的卡牌，使您的手牌维持在最大容量。,,
13,14,#,1-0,,,Maid,,右,如果您遗忘了卡牌的用法——请点击进行复习。,,
14,E,#,1-0,,,Maid,,右,来吧，运用您的策略，击败面前的假想敌。,,
15,16,#,1-0,#E,Maid&1,Maid,,右,卡池中共有26张基础卡牌，您可在城堡中探寻新的力量，扩充您的卡池。,,
16,E,#,1-0,,,Maid,,右,击败对手，才能获得奖赏。当然，您此刻的目标，或许仅仅是离开这个房间呢？,,
17,18,#,1月1日,#S,,Soldier,,,谁？什么人？,,
18,19,#,1月1日,,,Heart,normal,左,我是Heart，POKER国四王子。我在寻找Spade殿下被谋杀的证据。,,
19,E,#,1月1日,,,Soldier,,,这个时间点禁止入内，不管您是谁。,,
20,21,#,2月1日,#S,,Servant1,,,Spade殿下……我不敢相信她真的离开了我们。,,
21,22,#,2月1日,,,Servant2,,,明明就在昨天，她还笑着握住我的双手，告诉我这么努力工作真是辛苦啦，让我赶紧休息一小会儿。,,
