Type,ID,Speaker,IMG,Position,NextID,Text,CG,IsWatched,Condition
Start,0,Heart,bianren,左,1,这是……二姐的房间？灯亮着，她回来了？,,,
#,1,Maid,yansu3,右,2,正如信中写的那样，Club殿下下午就赶回来了，为了殿下被杀的事，也为了大选——,,,Maid_health>0
#,2,,,,3,环视一圈，这间房间太久没有住人，有些死寂。四周摆满了重达千斤的盔甲，以及一些名贵的武器、装备，Heart敢说全国上下最称手的近战兵械都在这里了，显得那张华丽的大床有些突兀。这里没有任何多余的装饰品，但他记得以前不是这样的。,,,
#,3,Heart,ding,左,4,那里好像有姐姐亲手做的花环，Club曾为了它和我打得不可开交；还有一个粗糙的小木偶，但它们现在都不见了，可能是打扫时被人丢掉了；也有可能是被有心之人拿走，连同自家的旧衣物一起卖掉了换粮食。,,,
#,4,Heart,normal,左,5,难怪信里说Club大发雷霆，不仅没有能摔的杂物，也没有可供她回忆过往的物件了。,,,
#,5,Club,qingmie,右,6,喂，你。过来。,,,
#,6,,,,7,沿着声音寻去，一个瘦高的女人插着手立在兵器架旁，盔甲的影子为她提供了完美的隐蔽。她比Heart高了一头，但并不打算为此改变仰头的姿态，居高临下斜睨着他逐渐走近——这个相看两厌的兄弟。,,,
#,7,Club,qingmie,右,8,这个时候还在城堡里游荡干什么？我警告你，别来添乱。但凡让我查出来是你与Spade的死有关，我马上让你去给她陪葬。,,,
#,8,Heart,sad,左,9,……我在找姐姐被杀的线索，并且你比我更有嫌疑。,,,
#,9,Heart,ding,左,10,你前脚刚迈进大门，发怒的事就传遍了全皇宫上下，是觉得场面还不够混乱吗？要论平生事端——我不如你。,,,
#,10,Club,qingmiexiao,右,11,呵呵。这倒是对了，你从来各方面都不如我，也不可能有杀死她的本事。,,,
#,11,Club,qingmiexiao,右,12,真无能啊，但凡你稍微有那么一丁点的、能保护他人的战斗力，Spade也不会被害。,,,
#,12,Heart,shengqi,左,13,——你说什么？,,,
#,13,,,,14,Club掏出一张皱皱的信纸——,,,
#,14,Heart,jiqie,左,15,姐姐的信！你……！,,,
#,15,Club,qingmie,右,16,这么惊讶干什么？你肯定听说过，这些年我在外面，我和Spade一直相互写信。,,,
#,16,Club,qingmie,右,17,知道为什么我回来得这么及时吗？这是她上一次给我的信——昨晚寄到，一只没用的小虫仆在路上浪费了一整天才送到。她说她要独自去城堡深处确认一件事——一个可能颠覆这个王朝、毁灭整个国家的威胁。我收到信后就往回赶，还是晚了一步。,,,
#,17,Club,shengqi,右,18,我一路上马不停蹄，你却怀疑我有杀了她的嫌疑——我告诉你，我不可能杀了她，说什么也不可能。,,,
#,18,Club,yansu,右,19,仆人们总说Spade比我更像长女，我从不反驳这一点。她聪明，有头脑，倘若她当选国王，肯定能管理好这些朝堂上杂七杂八的事。,,,
#,19,Club,yansu,右,20,我呢，能在外打仗保卫国家不被那些恶心的虫子侵占，但处理弯弯绕绕心思的耐心我可没有，直接都杀了比较快，但这肯定行不通。要让耕虫不吃庄稼又犁地，还是得靠她；而她想要让边疆安稳，我是最能得到她信任的人。,,,
#,20,Club,fanbaiyan,右,21,反观你这家伙——如果你值得信任，有让她依赖的本事，她为什么没给你写过信？为什么不与你商议这么严重的大事？,,,
#,21,Heart,shengqi2,左,22,如果你试图讽刺我无能，试图刺激起我的自卑，又或是挑拨离间，都大可不必。,,,
#,22,Heart,shenqgi,左,23,我对自己的定位非常准确，我就是一个占位的摆设，无用的器件，如此十几年我都乐在其中。,,,
#,23,Heart,shengqi,左,24,姐姐一直以来处理各项事物游刃有余，也并不需要我武力如何高超。你——不过是一个比我还需要她帮助的可怜人。,,,
#,24,Club,shengqi,右,25,你！——,,,
#,25,Club,qingmiexiao,右,26,——可你直到现在才从我的口中知道，Spade发现了城堡里会毁灭这个国家的威胁！你看，她才不会告诉你这个连自己都保护不好的弱者！,,,
#,26,Heart,jingyas,左,27,……等一下，你刚刚说到什么威胁？姐姐在信上告诉你的？,,,
#,27,Club,fanbaiyan,右,28,你自己看吧，我可不想读给你听。,,,
#,28,,,,29,Club把这张信纸递给Heart，他急忙接过开始读起来。,,,
#,29,Heart,bianren,左,30,按时间来算——这是姐姐前天晚上写就的，是她留下的最后的讯息。,,,
&,30,,,,31,"亲爱的Club：
我出发了。
我算好了时间与ta运动的规律——大厅的第三扇门会连接到城堡深处。这个问题必须被解决，根据我收集的资料推理，最晚在下下一任ta就不知足了，尽管ta也受困于城堡和王国的扩张，在变得更弱小，但我们的国家无法承受这种万一。我遇到了几个不太一般的房间，有前朝已逝王侯将相的寝居（意思是睡觉的房间），还有一些连墙都没有修葺（不是一种蘑菇！）过的房间——或者称之为洞穴更为准确。里面有一些从未在图鉴上见过的虫子，但似乎并不成群，它们总是三五出现，之间并没有交流或别的互动，不像虫族具有群体的意识，也并不伤害我。它们也感知不到我，只是机械地从事着食物的收集与搬运，很有意思的小生物。我试图分析它们的运输轨迹，找到另一条道路，不然我就又走回宰相的办公室了——
现在我正在其中一个洞穴为你写信，笔迹可能有些潦草，你不会介意的吧？虫仆已经在旁边不耐烦地摩挲口足了。如果一切顺利的话，我在后天早晨就能回到皇宫参加大选仪式。对的，一切肯定会顺利的！我会独自解决这个棘手的问题，不让它威胁到POKER国的子民们。我暂时没告诉Heart，他不需要承担这些，看他能做自己喜欢的事让我很安心；当它被解决后，大哥也不会受影响了。我们一家都会好好的，从此幸福美满地生活在一起，我们四人一起坐在餐桌旁欢声笑语的场景，如今仍然历历在目，总是在我脑中盘旋。我们之间——再不会有任何罅隙、任何分别了。我们会在一起——永远永远。
爱你的 Spade",,,
#,31,Heart,bianren,左,32,……这大体上是她的笔迹，到后面有些草率，但是总感觉哪里怪怪的——,,,
#,32,Club,yansu,右,33,呵，你的感觉终于对了一回，看来那些复杂的词语不止我读不明白。高深的东西她总会加上批注，这次却——,,,
#,33,Heart,ding,左,34,——她写到后面忘记给复杂的词语做批注了，这完全不符合她的习惯。,,,
#,34,Heart,ding,左,35,尤其是为你写信。,,,
#,35,Club,qingmie,右,36,所以这完全不符合她的习惯！她应该会考虑到我。,,,
#,36,Heart,bianren,左,37,……嗯，就算是着急的话，姐姐可能会写得很短，多余的抒情部分都会被她的批注替代……这种绵绵的抒情语气总使我觉得熟悉，但暂时想不起来在哪见过。,,,
#,37,Club,qingmie,右,38,她之前似乎说过，那个东西会散发出一种什么什么气味——我忘了它的名字，只记得会让人产生幻觉。,,,
#,38,Club,qingmie,右,39,我猜Spade当时已经很接近那个“他”了，但她也没说清楚这个“他”是什么，不像她事无巨细打标注的作风……太复杂的词语，我就不认识了。,,,
#,39,Heart,ding,左,40,这封信除了她接触过，除了她精神受到影响的可能——还有就是那些虫子了。虫仆会擅自修改内容吗？,,,
#,40,Club,qingmie,右,41,从来不会。就算我写了很多错别字，也没见它们好心帮我改过。,,,
#,41,Club,qingmie,右,42,而且虫子可伤不了她。,,,
#,42,Club,qingmie,右,43,我亲自教过她一些战斗的技巧，防止她被内敌刺杀，我敢保证质量，至少近身攻击比你强，也对付得了某个疯拖把。胆敢质疑我？你打得过她吗？,,,
#,43,Heart,jingyas,左,61,……,进过1-5，接44,,
#,44,Heart,jingyas,左,45,……等等。,,,
#,45,Heart,jingyal,左,46,我知道违和感在哪里了。,,,
#,46,Club,huaiyi,右,47,……是谁胆敢糊弄我？！是谁冒充Spade欺骗我？我不会放过他的！,,,
#,47,Heart,bianren,左,48,信件末尾的语气，好像那个人……,,,
#,48,Club,huaiyi,右,49,谁？告诉我！,,,
#,49,Heart,jingyas,左,50,……大哥，呃，Diamond。,,,
#,50,Club,shengqi,右,51,……我就知道。我就知道！那个人果然下手了……小时候就黏着国王，老头去哪他去哪——老头那么偏爱他，估计早在心里把继承人和他划等号了。,,,
#,51,Club,shengqi,右,52,也活该他当初失踪，得上那种怪病，老头就算再怎么疼他，他也失去了争权的优势。呵！死性不改……这个疯子，竟然真的对亲人下手！我尚能和他过上几招，而你……,,,
@,52,,,,84,辩驳,,,
@,53,,,,54,沉默地接受,,,
#,54,Club,qingmiexiao,右,55,我迟早得杀了他。不，就明天！你等着吧，你。我忘了你叫什么了，弟弟，总之明天大选，你就跟我一起杀了他，我们一块儿为Spade报仇。,,,
#,55,Club,qingmiexiao,右,56,你同意吗？你得同意。你必须同意。Spade是我们最亲近的人，我们都得为她做点什么。至于有人流血牺牲——都是应该的。,,,
